query,label
"booked a trip for 4 ppl, want to add a 5th now",Booking
"hello team, please confirm if my hotel reservation for bali on june 5-10 is active",Booking
"i can’t see the payment options, dropdown just doesn’t work on safari",Technical
"I heard airlines sometimes overbook, what’s your policy if I get bumped?",Policy
wanna reschedule my train ride to next week,Booking
"booked using my friend’s card, now i need a receipt in my name",Payment
"hello, flight from ny to la needs update",Booking
Hello I booked hotel under my partner's name but i need to change it to mine,Booking
"I missed my flight because of your app, and I need immediate help from someone in charge.",Escalation
"Hello, just checking when the refund will show on my statement",Payment
was promised refund 7 days ago still nothing,Payment
pls confirm if i need to show ID for domestic train travel booked thru ur site,Policy
"I’m at the airport right now and there’s an issue with my booking, your system shows the flight as canceled but the airline says it’s valid. I need help urgently before boarding closes.",Escalation
"Hi support, is there an option to pay extra for early check-in at the hotel I booked?",Booking
Can I board if my passport expires in less than 6 months? Knowlegde base says different things.,Policy
what's the easiest way to upgrade the hotel i just booked?,Booking
do u guys have any covid test requirements still in place for international flights?,Policy
can i please speak to a real person this bot isn’t helping,Escalation
payment button not working using chrome browser,Payment
need to book for 2 adults 1 kid italy vacation,Booking
trying to book for 5 ppl group deal?,Booking
need hotel from 15-20 aug barcelona,Booking
"Good day, could someone assist me with a group booking for a corporate retreat?",Booking
hey there can you tell me if my booking is confirmed?,Booking
can i split the payment across 2 cards?,Payment
"I was supposed to fly out this morning, but your app kept crashing during check-in and now I’ve missed my flight. I need to speak with someone immediately to understand what can be done.",Escalation
"tried reinstalling the app twice but still can’t log in, says “account not found”",Technical
hi is there a fee if i change my destination before travel starts?,Policy
"I booked wrong airport, how do i change that?",Booking
"Please not another automated reply, human human human",Escalation
"I followed all your steps to cancel my hotel booking within the free cancellation window, but I still got charged. Your chatbot has been looping me for 20 minutes.",Escalation
Hello! Could you help me figure out if I can switch my return flight to a later one.,Booking
This is my 4th message no one answered yet what’s going on,Escalation
hey there can you tell me if my booking is confirmed?,Booking
"trip to japan next month need tickets, but can't find in search",Booking
"I’m a student, do you offer any flexible travel policies or discounts for changes?",Policy
why is there a service fee now? didn’t see it before,Payment
"I selected the “flexible booking” option during checkout, does that mean I can change my flight date without penalty, or are there still fees involved?",Policy
"hi, tried multiple times to reset my password, no email coming through",Technical
Can u check if my payment was successful? didn’t get receipt,Payment
"Hi, please assist with modifying my itinerary. I need to extend my return by two days.",Booking
looking to book smth cheap to vegas,Booking
forgot to choose window seat can i fix it,Booking
Is there a known issue with the email verification step? it’s not accepting my code,Technical
"Every time I attempt to complete payment using my credit card, the site returns an error that says “token invalid.” I’ve tried multiple cards and even switched browsers. What can I do to get around this?",Technical
I’m using a VPN and the site won’t load for bookings,Technical
do i need a visa if i’m flying to canada for just 3 days?,Policy
do u guys accept paypal?,Payment
"Hi, I’ve been trying to finalize my hotel booking for the past hour, but every time I reach the payment page, the site reloads and erases all my entered information. ",Technical
